"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"378",0,4,1,0,2,0,1,3,1,4
"379",0,2,0,1,1,0,0,1,0,6
"380",0,3,1,0,2,0,1,8,0,9
"381",0,2,0,1,0,0,0,4,0,6
"382",0,3,0,0,3,0,1,3,0,8
"383",0,3,0,0,2,0,0,4,0,7
"384",0,4,0,1,2,0,1,3,1,7
"385",0,2,0,0,2,0,0,3,0,6
"386",0,2,0,0,2,0,0,5,0,12
"387",0,2,0,0,0,0,0,4,0,6
"388",1,2,1,1,3,0,0,3,0,9
"389",0,4,0,1,4,1,0,4,2,5
"390",0,1,0,0,0,0,0,3,0,5
"391",0,3,0,2,0,0,1,2,1,6
"392",0,5,0,0,2,0,0,6,0,6
"393",0,2,0,1,2,0,0,5,0,9
"394",0,3,0,0,3,0,0,7,0,8
"395",0,3,0,1,0,0,0,4,0,7
"396",0,4,0,1,2,0,2,6,1,9
"397",0,2,0,0,1,0,0,4,0,4
"398",1,5,2,1,5,1,2,5,1,8
"399",0,0,0,1,0,0,0,3,0,5
"400",0,1,0,0,0,0,0,2,1,3
"401",1,3,0,1,1,1,0,5,1,6
"402",0,2,0,0,0,0,0,2,1,3
"403",0,4,0,1,4,0,1,5,0,8
"404",0,3,0,0,1,0,1,4,0,6
"405",0,3,0,0,0,0,0,3,0,6
"406",0,2,0,0,0,0,0,6,1,6
"407",0,2,0,0,1,0,0,4,0,6
"408",0,2,0,0,0,0,0,6,0,5
"409",0,2,0,0,0,0,0,5,2,8
"410",0,1,0,1,0,0,0,5,1,5
"411",0,2,0,0,0,0,0,6,0,8
"412",0,3,0,0,1,0,0,4,0,6
"413",0,2,0,0,0,0,0,3,1,2
"414",1,5,0,1,3,0,1,5,2,6
"415",0,2,0,0,1,0,0,4,1,3
"416",1,2,0,0,1,1,0,2,1,3
"417",0,2,0,0,1,0,0,4,0,4
"418",0,2,0,0,2,0,1,5,0,7
"419",0,3,0,0,2,0,0,6,0,9
"420",0,1,0,0,0,0,0,2,0,5
"421",0,5,0,0,2,1,0,6,0,13
"422",0,3,0,0,2,0,1,3,0,7
"423",0,3,0,0,2,0,0,2,0,4
"424",0,3,0,0,2,0,0,3,0,4
"425",0,2,0,0,2,0,1,4,0,5
"426",0,3,0,0,2,1,0,5,1,10
"427",0,2,0,0,0,0,0,2,1,5
"428",0,1,0,0,0,0,0,2,0,3
"429",0,5,0,1,3,0,1,8,0,7
"430",0,2,0,0,0,0,0,4,0,2
"431",0,3,1,0,1,0,1,3,1,4
"432",0,1,0,0,0,0,1,5,0,7
"433",0,1,0,0,0,0,0,2,0,3
"434",0,0,0,0,0,0,0,0,0,3
"435",0,1,0,0,0,0,0,3,0,4
"436",1,4,0,1,1,1,0,4,1,7
"437",0,3,0,1,1,0,1,2,0,5
"438",0,6,0,0,1,0,1,4,0,8
"439",0,6,0,0,1,0,1,4,0,8
"440",0,6,0,0,1,0,1,4,0,8
"441",0,6,0,0,1,0,1,4,0,8
"442",0,6,0,0,1,0,1,4,0,8
"443",0,6,0,0,1,0,1,4,0,8
"444",0,6,0,0,1,0,1,4,0,8
"445",0,6,0,0,1,0,1,4,0,8
"446",1,2,1,1,2,1,0,4,1,5
"447",0,1,0,0,0,0,0,3,0,4
"448",0,2,1,0,1,1,3,3,0,4
"449",0,6,0,0,3,1,0,8,0,12
"450",0,2,0,0,0,0,0,1,0,3
"451",0,0,0,0,1,0,0,1,0,3
"452",0,1,0,0,1,0,0,2,0,1
"453",1,2,0,2,2,1,2,4,1,5
"454",0,2,0,1,0,0,0,3,2,4
"455",0,3,0,0,1,0,1,2,0,7
"456",0,4,0,0,4,0,1,3,0,8
"457",0,1,0,1,1,0,0,6,0,11
"458",0,4,0,0,4,0,1,3,0,8
"459",2,2,1,3,1,3,1,1,3,4
"460",0,2,0,1,1,1,1,5,1,6
"461",0,1,0,0,0,0,0,1,0,3
"462",0,2,0,0,1,0,0,4,0,4
"463",0,2,0,0,2,0,1,1,0,4
"464",1,2,0,2,1,1,0,2,2,5
"465",0,2,0,2,0,0,0,2,1,7
"466",1,5,0,2,3,1,2,6,1,9
"467",1,0,1,0,0,1,0,2,2,1
"468",2,1,0,1,1,2,0,1,2,3
"469",0,2,0,0,1,0,0,1,1,7
"470",0,3,0,1,1,0,1,4,0,8
"471",1,3,1,0,1,0,1,3,1,6
"472",0,3,0,0,1,0,0,3,1,7
"473",0,3,0,0,1,0,2,2,0,7
"474",0,1,0,0,0,0,0,2,0,2
"475",0,4,0,0,2,0,0,3,0,9
"476",0,2,0,0,3,0,0,6,0,8
"477",0,2,0,0,0,0,0,4,0,5
"478",0,4,0,0,1,0,0,4,1,4
"479",0,2,0,0,2,0,1,5,0,6
"480",0,3,0,0,2,0,1,5,0,7
"481",0,2,1,1,0,0,0,3,2,4
"482",0,1,0,1,0,0,0,1,1,2
"483",0,4,0,1,1,0,0,3,1,6
"484",0,2,0,0,0,0,0,7,0,4
"485",0,3,0,0,1,0,0,6,0,7
"486",0,2,0,0,0,0,0,3,1,3
"487",0,2,0,0,1,0,1,4,1,7
"488",0,0,0,1,0,0,1,1,1,4
"489",0,5,0,0,3,0,1,4,0,8
"490",0,3,0,0,2,0,0,6,0,5
"491",0,4,0,1,2,1,1,3,1,4
"492",0,2,0,0,1,1,0,3,1,4
"493",0,2,0,0,1,1,0,3,1,4
"494",0,2,0,0,1,1,0,3,1,6
"495",0,2,0,0,0,0,0,1,0,5
"496",0,3,0,1,2,0,0,5,1,7
"497",0,3,0,1,2,0,0,5,1,7
"498",0,1,0,0,0,0,0,2,0,6
"499",0,1,0,0,0,0,0,2,0,4
"500",0,2,1,0,0,1,0,1,0,4
"501",0,2,0,0,2,0,0,3,0,6
"502",1,3,0,0,2,0,2,4,1,7
"503",0,4,0,0,2,1,0,3,0,5
"504",0,1,0,1,1,0,0,7,1,6
"505",0,2,0,0,0,0,0,4,0,4
"506",0,1,0,0,0,0,0,3,0,3
"507",0,3,0,0,2,0,0,3,0,6
"508",0,2,0,0,0,1,0,3,1,5
"509",0,0,0,0,0,0,0,3,0,1
"510",0,3,0,0,0,0,0,3,0,7
"511",0,3,0,1,0,0,1,2,1,3
"512",0,1,0,0,0,0,0,4,0,3
"513",0,3,1,1,0,1,1,1,1,4
"514",0,4,0,0,1,0,0,3,0,4
"515",0,2,0,0,1,0,0,3,0,5
"516",0,7,1,0,3,1,3,4,0,9
"517",0,1,0,0,0,0,0,5,0,10
"518",0,1,0,0,0,0,0,6,0,5
