"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"434",2,17,2,5,11,2,2,27,7,48
"435",2,9,2,3,7,0,0,16,10,24
"436",4,22,2,4,12,6,3,30,10,45
"437",3,14,0,5,11,5,3,27,8,46
"438",3,16,0,1,8,3,3,30,7,56
"439",5,16,3,8,14,6,1,37,9,55
"440",2,8,2,3,7,2,2,24,11,35
"441",2,17,2,5,11,2,2,27,7,48
"442",0,5,0,1,5,0,1,10,1,20
"443",2,11,1,3,7,3,2,15,4,24
"444",4,15,4,5,11,6,2,29,18,42
"445",5,18,4,5,14,6,3,35,10,59
"446",2,11,1,3,5,3,5,16,5,31
"447",0,2,0,3,4,1,0,10,3,17
"448",2,11,2,2,8,2,0,25,5,42
"449",2,17,2,5,11,2,2,27,7,48
"450",2,17,2,5,11,2,2,28,7,48
"451",0,6,0,2,8,2,2,18,3,39
"452",1,9,1,2,7,2,6,14,2,20
"453",1,13,0,1,10,2,5,24,4,50
"454",4,14,3,3,10,4,2,24,11,35
"455",0,6,0,1,5,0,1,10,1,20
"456",5,18,4,5,14,6,3,35,10,59
"457",2,16,2,4,10,2,2,26,6,47
"458",1,12,0,2,7,2,6,21,6,45
"459",7,14,4,6,10,5,3,33,12,45
"460",3,9,6,2,7,2,3,23,4,46
"461",5,14,3,6,8,4,1,29,10,43
"462",6,21,3,6,11,7,2,28,9,46
"463",4,10,2,3,6,2,1,22,10,32
"464",3,11,1,3,6,4,2,14,6,25
"465",3,17,0,2,10,1,6,23,5,43
"466",0,10,0,1,5,2,3,14,2,28
"467",3,7,5,2,5,3,3,21,6,33
"468",2,17,2,5,11,2,2,27,7,51
"469",4,14,1,3,5,5,6,28,11,38
"470",3,13,1,2,9,3,3,23,4,33
"471",4,12,3,4,10,3,1,24,8,36
"472",2,13,3,2,8,4,2,31,9,55
"473",1,2,1,1,5,0,1,10,4,18
"474",0,8,0,1,5,2,2,15,1,22
"475",1,9,1,2,7,1,5,12,2,25
"476",2,8,1,3,7,6,1,25,5,48
"477",0,9,0,3,7,0,2,17,3,40
"478",3,20,3,5,10,4,3,26,7,40
"479",1,12,1,2,7,3,1,21,3,39
"480",2,9,2,3,7,0,0,16,10,24
"481",3,13,3,5,9,5,1,31,11,49
"482",0,5,0,1,5,0,1,10,1,20
"483",3,16,2,4,9,5,4,29,11,43
"484",1,7,0,2,5,3,2,15,4,30
"485",0,12,0,3,8,0,2,17,3,38
"486",3,13,2,3,10,3,1,31,9,46
"487",3,9,0,0,5,2,5,16,5,33
"488",2,17,2,5,11,2,2,27,7,49
"489",5,11,2,5,7,6,2,21,9,32
"490",2,17,2,5,11,2,2,27,7,48
"491",6,9,2,5,8,2,2,18,9,35
"492",2,14,2,2,8,3,1,27,5,46
"493",4,14,3,5,11,6,2,27,11,45
"494",2,6,2,5,6,3,0,19,7,28
"495",0,5,0,1,5,0,1,11,1,20
"496",2,17,2,5,11,2,2,27,7,51
"497",2,10,2,3,8,2,1,21,5,32
"498",2,13,1,1,9,1,4,25,4,35
"499",3,13,1,2,9,3,3,23,4,33
"500",6,10,2,5,7,5,1,33,9,42
"501",4,19,1,4,12,2,4,30,10,59
"502",1,12,0,2,7,2,6,21,6,45
"503",2,12,0,5,11,2,5,25,5,45
"504",7,21,4,7,11,9,3,28,11,45
"505",1,16,1,5,7,1,3,20,4,40
"506",4,14,3,3,10,4,2,24,11,35
"507",4,18,3,6,12,5,2,29,12,41
"508",3,13,3,5,9,5,1,31,11,49
"509",1,12,0,2,7,2,6,21,6,45
"510",1,6,0,2,7,3,2,19,4,35
"511",2,11,2,2,8,2,0,25,5,42
"512",4,12,2,4,8,4,2,25,8,36
"513",2,11,0,3,6,4,3,17,7,29
"514",2,8,1,3,6,1,1,15,4,36
"515",4,16,1,4,12,4,3,26,10,48
"516",3,16,2,6,9,4,2,24,6,40
"517",0,12,0,3,9,1,2,17,3,34
"518",0,6,0,1,3,1,3,21,2,28
"519",2,12,1,1,10,2,4,29,6,48
"520",5,17,4,4,13,4,2,25,8,44
"521",4,11,3,5,8,3,2,25,10,36
"522",0,1,0,3,3,1,0,9,3,15
"523",4,26,1,3,14,4,8,32,10,61
"524",0,7,0,2,4,1,3,13,3,24
"525",4,14,3,4,8,4,0,20,9,33
"526",1,11,2,0,7,1,4,25,4,43
"527",0,5,0,1,5,0,1,11,1,20
"528",4,14,3,6,13,4,1,31,11,45
"529",2,6,2,5,6,3,0,19,7,28
"530",3,9,0,0,5,2,5,16,5,33
"531",5,12,1,2,6,4,5,27,9,49
"532",3,12,2,3,9,3,5,26,7,38
"533",4,13,3,3,9,3,1,24,8,36
"534",3,9,1,3,6,3,1,29,12,44
"535",3,17,2,3,10,4,1,26,8,42
"536",2,6,2,5,6,3,0,19,7,28
"537",3,12,2,3,7,3,0,22,6,32
"538",0,11,0,3,7,0,4,16,3,36
"539",2,11,2,3,8,3,2,30,6,36
"540",0,13,1,0,11,2,4,21,1,34
"541",2,15,1,5,14,4,9,33,7,63
"542",3,11,1,4,5,3,3,23,9,37
"543",2,10,1,6,6,4,3,19,9,35
"544",1,14,0,3,7,1,2,26,6,39
"545",3,11,0,3,8,2,3,24,5,42
"546",0,12,1,1,11,1,3,21,1,33
"547",2,13,2,3,11,4,1,28,5,44
"548",2,10,2,3,8,2,1,21,5,32
"549",3,13,3,5,9,5,1,31,11,49
"550",3,11,0,1,1,3,2,16,7,40
"551",1,9,1,2,8,1,2,14,2,31
"552",3,16,2,3,9,3,0,24,7,37
"553",3,17,2,3,8,3,1,26,6,38
"554",7,14,4,6,10,5,3,33,12,45
"555",2,7,0,4,6,4,3,22,6,45
"556",5,16,3,8,14,6,1,37,9,55
"557",5,9,3,8,6,5,1,30,12,39
"558",3,17,1,3,9,2,4,25,10,48
"559",4,21,2,5,12,5,5,32,13,49
"560",1,6,1,4,1,1,3,12,6,20
"561",1,11,1,2,7,1,3,19,5,38
"562",3,10,0,4,8,4,2,21,6,31
"563",2,17,2,5,11,2,2,27,7,49
"564",2,17,2,5,11,2,2,27,7,48
"565",0,5,1,2,5,1,2,15,0,23
"566",5,14,3,4,11,4,3,25,10,43
"567",4,14,3,5,11,6,2,27,11,45
"568",4,17,0,4,9,2,4,23,4,33
"569",3,14,2,6,8,6,3,38,12,50
"570",4,11,0,3,9,6,2,23,9,42
"571",1,14,2,3,12,1,6,26,6,42
"572",3,22,3,8,11,3,2,30,8,51
"573",4,10,1,3,7,5,2,21,7,47
"574",3,9,2,6,7,3,0,26,7,32
"575",4,15,1,3,5,4,2,28,9,46
"576",0,3,0,1,2,1,1,3,1,3
"577",0,13,1,0,11,2,4,21,1,34
"578",7,23,4,10,15,6,3,46,14,60
"579",2,12,2,2,9,2,1,26,5,42
"580",2,17,2,5,11,2,2,27,7,49
"581",2,17,2,5,11,2,2,28,7,48
"582",3,17,2,4,12,4,1,33,8,47
"583",2,6,2,5,6,3,0,19,7,28
"584",2,6,1,2,6,4,7,15,8,36
"585",1,9,0,2,4,2,2,12,3,25
"586",3,17,3,3,14,3,2,35,8,45
"587",4,12,2,5,8,4,2,27,9,39
"588",3,15,1,4,6,4,4,24,7,48
"589",1,18,4,3,13,3,3,26,6,49
"590",2,17,2,5,11,2,2,27,7,48
"591",1,8,0,2,2,1,0,13,1,18
"592",2,17,2,5,11,2,2,28,7,48
"593",4,10,1,4,7,4,4,26,10,36
"594",5,15,3,5,10,7,0,26,11,36
"595",3,12,0,3,8,3,2,25,6,46
"596",3,12,2,6,10,4,2,27,11,42
"597",5,16,4,4,10,6,1,22,9,39
"598",1,12,1,3,12,2,3,30,6,48
"599",0,12,0,2,8,1,3,20,2,43
"600",2,13,0,3,9,2,5,24,7,38
"601",1,7,1,2,6,1,2,15,6,33
"602",4,19,2,4,8,5,1,24,7,39
"603",1,14,0,1,11,2,7,24,5,43
"604",2,17,2,5,11,2,2,27,7,48
"605",2,17,3,4,11,3,5,29,8,46
"606",1,15,0,2,12,2,6,23,3,51
"607",2,12,2,3,7,2,3,26,7,44
"608",5,13,1,3,8,5,4,27,11,50
"609",2,14,2,3,9,2,0,27,8,44
"610",5,17,3,3,11,3,5,32,10,51
"611",3,12,2,4,10,3,1,23,8,37
"612",0,4,0,1,4,0,3,15,2,33
"613",2,11,1,5,7,4,4,18,8,34
"614",3,17,3,2,12,2,0,29,10,47
"615",2,12,1,3,5,3,3,15,4,32
"616",3,13,3,3,7,3,1,27,8,37
"617",4,18,2,4,14,3,5,42,11,60
"618",3,14,2,2,5,4,4,24,10,42
"619",2,9,2,3,5,4,2,14,6,31
"620",1,9,0,1,8,4,4,38,9,64
"621",2,19,3,3,12,3,6,30,7,51
"622",3,10,3,2,8,2,1,25,11,38
"623",6,13,2,8,14,5,3,36,15,53
"624",3,11,2,2,6,2,1,23,5,31
"625",7,15,3,7,11,4,4,31,15,44
"626",5,16,3,8,14,6,1,37,9,55
